

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

001.057  001.057: --- NVIM STARTING ---
012.334  011.277: event init
016.751  004.417: early init
016.816  000.064: locale set
021.137  004.322: init first window
028.835  007.697: inits 1
028.845  000.011: window checked
028.848  000.003: parsing arguments
033.569  004.721: init lua interpreter
033.618  000.049: expanding arguments
034.447  000.829: inits 2
034.654  000.207: init highlight
034.656  000.002: waiting for UI
035.676  001.020: done waiting for UI
035.706  000.030: init screen for UI
035.768  000.062: init default mappings
035.838  000.070: init default autocommands
037.593  000.119  000.119: sourcing startuptime.lua
037.598  001.641: --cmd commands
039.940  000.487  000.487: sourcing /tmp/.mount_nvimgku1OJ/usr/share/nvim/runtime/ftplugin.vim
040.650  000.467  000.467: sourcing /tmp/.mount_nvimgku1OJ/usr/share/nvim/runtime/indent.vim
042.329  000.196  000.196: require util.globals
042.786  000.451  000.451: require config.options
042.851  000.061  000.061: require config.autogroups
042.966  000.005  000.005: require vim.keymap
043.636  000.781  000.776: require config.mappings
043.785  000.043  000.043: require util.log
043.789  000.096  000.053: require util.path
043.808  000.167  000.071: require config.commands
043.844  000.034  000.034: require config.abbreviations
044.919  000.179  000.179: require packer.util
044.953  000.859  000.680: require packer
045.270  000.313  000.313: require packer.log
045.765  000.164  000.164: require packer.async
046.139  000.169  000.169: require packer.result
046.145  000.375  000.206: require packer.jobs
046.150  000.824  000.286: require packer.plugin_utils
046.398  000.238  000.238: require packer.snapshot
046.578  002.730  000.496: require config.plugins
046.725  000.142  000.142: require git.blame
046.919  000.092  000.092: require ui.window.float
046.923  000.189  000.097: require git.lazygit
047.044  000.033  000.033: require util.table
047.085  000.037  000.037: require util.buffer
047.088  000.158  000.089: require ui.arglist
047.239  000.027  000.027: require config.colours
047.266  000.024  000.024: require util.highlights
048.681  000.005  000.005: require vim.F
048.707  001.397  001.391: require vim.diagnostic
048.710  001.441  000.044: require lsp.diagnostics
048.747  000.034  000.034: require util.input
048.752  001.653  000.127: require ui.tabline
048.842  000.063  000.063: require ui.statusline
048.900  000.040  000.040: require ui.buffer.trailing_whitespace
048.956  000.040  000.040: require ui.window.numbering
049.013  000.041  000.041: require tmux
049.126  000.077  000.077: require alternate
049.198  000.039  000.039: require ui.switcheroo
